valute,date,buy,sell
USD,17-10-2025,39.50000,42.25000
USD,16-10-2025,39.50000,42.20000
USD,15-10-2025,39.50000,42.30000
USD,14-10-2025,39.50000,42.30000
USD,13-10-2025,39.50000,42.20000
USD,10-10-2025,39.50000,42.20000
USD,09-10-2025,39.50000,42.05000
USD,08-10-2025,39.50000,41.95000
USD,07-10-2025,39.50000,41.85000
USD,06-10-2025,39.50000,41.85000
USD,03-10-2025,39.50000,41.77000
USD,02-10-2025,39.50000,41.64000
USD,01-10-2025,39.50000,41.69000
USD,30-09-2025,39.50000,41.65000
USD,29-09-2025,39.50000,41.80000
USD,26-09-2025,39.50000,41.95000
USD,25-09-2025,39.50000,41.95000
USD,24-09-2025,39.50000,41.90000
USD,23-09-2025,39.50000,41.90000
USD,22-09-2025,39.50000,41.90000
USD,19-09-2025,39.50000,41.70000
USD,18-09-2025,39.50000,41.75000
USD,17-09-2025,39.50000,41.75000
USD,16-09-2025,39.50000,41.70000
USD,15-09-2025,39.50000,41.75000
USD,12-09-2025,39.50000,41.75000
USD,11-09-2025,39.50000,41.80000
USD,10-09-2025,39.50000,41.75000
USD,09-09-2025,39.50000,41.60000
USD,08-09-2025,39.50000,41.70000
USD,05-09-2025,39.50000,41.92000
USD,04-09-2025,39.50000,41.92000
USD,03-09-2025,39.50000,41.95000
USD,02-09-2025,39.50000,41.85000
USD,01-09-2025,39.50000,41.90000
USD,29-08-2025,39.50000,41.90000
USD,28-08-2025,39.50000,41.77000
USD,27-08-2025,39.50000,41.90000
USD,26-08-2025,39.50000,41.90000
USD,25-08-2025,39.50000,41.90000
USD,22-08-2025,39.50000,41.85000
USD,21-08-2025,39.50000,41.80000
USD,20-08-2025,39.50000,41.95000
USD,19-08-2025,39.50000,41.90000
USD,18-08-2025,39.50000,41.85000
USD,15-08-2025,39.50000,41.88000
USD,14-08-2025,39.50000,41.95000
USD,13-08-2025,39.50000,42.10000
USD,12-08-2025,39.50000,42.00000
USD,11-08-2025,39.50000,41.95000
USD,08-08-2025,39.50000,41.95000
USD,07-08-2025,39.50000,42.00000
USD,06-08-2025,39.50000,42.10000
USD,05-08-2025,39.50000,42.20000
USD,04-08-2025,39.50000,42.35000
USD,01-08-2025,39.50000,42.29000
USD,31-07-2025,39.50000,42.22000
USD,30-07-2025,39.50000,42.25000
USD,29-07-2025,39.50000,42.25000
USD,28-07-2025,39.50000,42.30000
USD,25-07-2025,39.50000,42.25000
USD,24-07-2025,39.50000,42.35000
USD,23-07-2025,39.50000,42.27000
USD,22-07-2025,39.50000,42.25000
USD,21-07-2025,39.50000,42.40000
USD,18-07-2025,39.50000,42.35000
USD,17-07-2025,39.50000,42.40000
USD,16-07-2025,39.50000,42.35000
USD,15-07-2025,39.50000,42.35000
USD,14-07-2025,39.50000,42.30000
USD,11-07-2025,39.50000,42.35000
USD,10-07-2025,39.50000,42.35000
USD,09-07-2025,39.50000,42.35000
USD,08-07-2025,39.50000,42.30000
USD,07-07-2025,39.50000,42.35000
USD,04-07-2025,39.50000,42.30000
USD,03-07-2025,39.50000,42.25000
USD,02-07-2025,39.50000,42.27000
USD,01-07-2025,39.50000,42.30000
USD,30-06-2025,39.50000,42.25000
USD,27-06-2025,39.50000,42.10000
USD,26-06-2025,39.50000,42.15000
USD,25-06-2025,39.50000,42.15000
USD,24-06-2025,39.50000,42.37000
USD,23-06-2025,39.50000,42.45000
USD,20-06-2025,39.20000,42.38000
USD,19-06-2025,39.20000,42.38000
USD,18-06-2025,39.20000,42.22000
USD,17-06-2025,39.20000,42.14000
USD,16-06-2025,39.20000,42.04000
USD,13-06-2025,39.20000,41.98000
USD,12-06-2025,39.20000,42.02000
USD,11-06-2025,39.20000,42.09000
USD,10-06-2025,39.20000,42.10000
USD,09-06-2025,39.20000,41.80000
USD,06-06-2025,39.20000,41.98000
USD,05-06-2025,39.20000,42.12000
USD,04-06-2025,39.20000,42.09000
USD,03-06-2025,39.20000,42.25000
USD,02-06-2025,39.20000,42.17000
USD,30-05-2025,39.20000,42.09000
USD,29-05-2025,39.20000,42.07000
USD,28-05-2025,39.20000,42.07000
USD,27-05-2025,39.20000,42.17000
USD,26-05-2025,39.20000,42.07000
USD,23-05-2025,39.20000,42.02000
USD,22-05-2025,39.20000,42.00000
USD,21-05-2025,39.20000,42.00000
USD,20-05-2025,39.20000,42.04000
USD,19-05-2025,39.20000,42.15000
USD,16-05-2025,39.20000,42.05000
USD,15-05-2025,39.20000,42.05000
USD,14-05-2025,39.20000,42.07000
USD,13-05-2025,39.20000,42.02000
USD,12-05-2025,39.20000,42.12000
USD,09-05-2025,39.20000,42.07000
USD,08-05-2025,39.20000,42.12000
USD,07-05-2025,39.20000,42.00000
USD,06-05-2025,39.20000,42.00000
USD,05-05-2025,39.20000,42.13000
USD,02-05-2025,39.20000,42.30000
USD,01-05-2025,39.20000,42.18000
USD,30-04-2025,39.20000,42.10000
USD,29-04-2025,39.20000,42.10000
USD,28-04-2025,39.20000,42.28000
USD,25-04-2025,39.20000,42.39000
USD,24-04-2025,39.20000,42.35000
USD,23-04-2025,39.20000,42.35000
USD,22-04-2025,39.20000,42.18000
USD,21-04-2025,39.20000,41.88000
USD,18-04-2025,39.20000,41.98000
USD,17-04-2025,39.20000,41.89000
USD,16-04-2025,39.20000,41.75000
USD,15-04-2025,39.20000,41.75000
USD,14-04-2025,39.20000,41.90000
USD,11-04-2025,39.20000,42.00000
USD,10-04-2025,39.20000,41.95000
USD,09-04-2025,39.20000,41.80000
USD,08-04-2025,39.20000,41.67000
USD,07-04-2025,39.20000,41.72000
USD,04-04-2025,39.20000,41.70000
