currency,date,buy,sell
USD,22-10-2024,41,41.4937759336
USD,23-10-2024,41,41.4937759336
USD,24-10-2024,41,41.4937759336
USD,25-10-2024,41,41.4937759336
USD,26-10-2024,41.05,41.4937759336
USD,27-10-2024,41.05,41.4937759336
USD,28-10-2024,41.05,41.4937759336
USD,29-10-2024,41.1,41.4937759336
USD,30-10-2024,41.1,41.4937759336
USD,31-10-2024,41.05,41.4937759336
USD,01-11-2024,41.05,41.4937759336
USD,02-11-2024,41.05,41.4937759336
USD,03-11-2024,41.05,41.4937759336
USD,04-11-2024,41.05,41.4937759336
USD,04-11-2024,41.1,41.6666666667
USD,05-11-2024,41.1,41.6666666667
USD,06-11-2024,41.15,41.6666666667
USD,07-11-2024,41.15,41.6666666667
USD,08-11-2024,41.15,41.6666666667
USD,09-11-2024,41.05,41.6666666667
USD,10-11-2024,41.05,41.6666666667
USD,11-11-2024,41.05,41.6666666667
USD,12-11-2024,41.1,41.6666666667
USD,13-11-2024,41.1,41.6666666667
USD,14-11-2024,41.1,41.6666666667
USD,15-11-2024,41.05,41.6666666667
USD,16-11-2024,41.05,41.6666666667
USD,17-11-2024,41.05,41.6666666667
USD,18-11-2024,41.05,41.6666666667
USD,19-11-2024,41.1,41.6666666667
USD,20-11-2024,41.05,41.6666666667
USD,21-11-2024,41.1,41.6666666667
USD,22-11-2024,41.05,41.6666666667
USD,23-11-2024,41.1,41.6666666667
USD,24-11-2024,41.1,41.6666666667
USD,25-11-2024,41.1,41.6666666667
USD,26-11-2024,41.15,41.6666666667
USD,27-11-2024,41.3,41.8410041841
USD,28-11-2024,41.3,41.8410041841
USD,29-11-2024,41.35,41.8410041841
USD,30-11-2024,41.3,41.8410041841
USD,01-12-2024,41.3,41.8410041841
USD,02-12-2024,41.3,41.8410041841
USD,03-12-2024,41.35,41.8410041841
USD,04-12-2024,41.4,41.8410041841
USD,05-12-2024,41.4,41.8410041841
USD,06-12-2024,41.3,41.8410041841
USD,07-12-2024,41.2,41.8410041841
USD,08-12-2024,41.2,41.8410041841
USD,09-12-2024,41.2,41.8410041841
USD,10-12-2024,41.25,41.8410041841
USD,11-12-2024,41.3,41.8410041841
USD,12-12-2024,41.3,41.8410041841
USD,13-12-2024,41.3,41.8410041841
USD,14-12-2024,41.35,41.8410041841
USD,15-12-2024,41.35,41.8410041841
USD,16-12-2024,41.35,41.8410041841
USD,16-12-2024,41.45,42.0168067227
USD,17-12-2024,41.45,42.0168067227
USD,18-12-2024,41.55,42.0168067227
USD,19-12-2024,41.65,42.194092827
USD,20-12-2024,41.6,42.194092827
USD,21-12-2024,41.6,42.194092827
USD,22-12-2024,41.6,42.194092827
USD,23-12-2024,41.6,42.194092827
USD,24-12-2024,41.8,42.194092827
USD,24-12-2024,41.7,42.194092827
USD,25-12-2024,41.7,42.194092827
USD,26-12-2024,41.6,42.194092827
USD,27-12-2024,41.6,42.194092827
USD,28-12-2024,41.75,42.194092827
USD,29-12-2024,41.75,42.194092827
USD,30-12-2024,41.75,42.194092827
USD,30-12-2024,41.8,42.3728813559
USD,31-12-2024,41.8,42.3728813559
USD,01-01-2025,41.8,42.3728813559
USD,02-01-2025,41.8,42.3728813559
USD,03-01-2025,41.8,42.3728813559
USD,04-01-2025,41.85,42.5531914894
USD,05-01-2025,41.85,42.5531914894
USD,06-01-2025,41.85,42.5531914894
